,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,dunedin,0.0,NZ,1583702660.0,89.0,-45.87,170.5,56.55,0.51
1,nome,40.0,US,1583702669.0,91.0,64.5,-165.41,-4.0,2.57
2,puerto maldonado,91.0,PE,1583702669.0,48.0,-12.6,-69.18,92.75,3.18
4,saint-philippe,75.0,RE,1583702669.0,65.0,-21.36,55.77,80.6,24.16
5,kiama,40.0,AU,1583702669.0,72.0,-34.68,150.87,64.0,11.41
6,kodiak,90.0,US,1583702669.0,74.0,57.79,-152.41,35.6,2.21
7,mollendo,8.0,PE,1583702669.0,79.0,-17.02,-72.01,71.15,6.06
8,portland,75.0,US,1583702513.0,65.0,45.52,-122.68,51.01,10.29
9,tasiilaq,100.0,GL,1583702669.0,67.0,65.61,-37.64,17.6,17.22
10,fortuna,20.0,US,1583702669.0,62.0,40.6,-124.16,55.0,13.87
11,rikitea,100.0,PF,1583702584.0,82.0,-23.12,-134.97,79.03,15.88
12,bubaque,0.0,GW,1583702670.0,76.0,11.28,-15.83,79.41,16.28
13,rundu,38.0,NA,1583702670.0,64.0,-17.93,19.77,73.4,2.24
14,hasaki,75.0,JP,1583702670.0,93.0,35.73,140.83,48.2,13.87
15,ushuaia,75.0,AR,1583702646.0,81.0,-54.8,-68.3,48.2,31.09
16,bluff,17.0,NZ,1583702670.0,99.0,-46.6,168.33,57.0,1.01
18,darhan,69.0,MN,1583702670.0,86.0,49.49,105.92,-3.24,7.45
19,punta arenas,40.0,CL,1583702630.0,50.0,-53.15,-70.92,57.2,28.86
20,hofn,0.0,IS,1583702670.0,64.0,64.25,-15.21,30.79,19.44
21,cherskiy,100.0,RU,1583702670.0,76.0,68.75,161.3,-6.97,11.74
22,barcelos,75.0,PT,1583702586.0,100.0,41.54,-8.62,52.0,1.12
23,mar del plata,62.0,AR,1583702650.0,72.0,-38.0,-57.56,70.0,11.41
24,nioro,1.0,GM,1583702671.0,15.0,13.35,-15.75,86.95,6.73
25,manggar,64.0,ID,1583702671.0,80.0,-2.88,108.27,81.16,7.25
26,belaya kholunitsa,100.0,RU,1583702671.0,99.0,58.84,50.85,34.83,6.49
27,bengkulu,81.0,ID,1583702671.0,91.0,-3.8,102.27,74.46,2.82
28,atuona,0.0,PF,1583702671.0,64.0,-9.8,-139.03,81.57,9.35
29,vila franca do campo,75.0,PT,1583702671.0,93.0,37.72,-25.43,64.0,11.41
30,peniche,75.0,PT,1583702671.0,93.0,39.36,-9.38,57.99,3.36
31,calabozo,0.0,VE,1583702671.0,22.0,8.92,-67.43,100.26,8.7
32,ambilobe,100.0,MG,1583702671.0,93.0,-13.2,49.05,76.48,4.52
34,nhulunbuy,100.0,AU,1583702672.0,94.0,-12.23,136.77,75.2,5.82
35,saint george,1.0,US,1583702672.0,41.0,37.1,-113.58,60.8,6.93
36,leningradskiy,0.0,RU,1583702672.0,75.0,69.38,178.42,-13.81,3.06
37,hobart,75.0,AU,1583702404.0,76.0,-42.88,147.33,52.0,4.7
38,axim,46.0,GH,1583702672.0,81.0,4.87,-2.24,80.29,3.98
39,dubrovka,87.0,RU,1583702672.0,82.0,53.69,33.51,42.15,2.91
40,belmonte,75.0,BR,1583702672.0,83.0,-15.86,-38.88,78.8,6.93
41,bredasdorp,100.0,ZA,1583702672.0,77.0,-34.53,20.04,66.2,8.05
42,jijiang,90.0,CN,1583702672.0,82.0,29.29,106.25,59.0,8.95
43,hermanus,100.0,ZA,1583702672.0,90.0,-34.42,19.23,66.0,22.03
44,nikolskoye,0.0,RU,1583702672.0,86.0,59.7,30.79,30.2,2.24
45,mataura,6.0,NZ,1583702673.0,99.0,-46.19,168.86,57.0,1.01
46,cabo san lucas,90.0,MX,1583702405.0,44.0,22.89,-109.91,81.0,9.17
47,bambous virieux,75.0,MU,1583702673.0,88.0,-20.34,57.76,77.0,13.87
48,mudanjiang,100.0,CN,1583702673.0,97.0,44.58,129.6,30.67,2.33
49,saint-joseph,75.0,RE,1583702673.0,65.0,-21.37,55.62,80.6,24.16
50,byron bay,100.0,AU,1583702673.0,94.0,-28.65,153.62,70.0,4.7
51,oranjemund,19.0,NA,1583702673.0,84.0,-28.55,16.43,64.18,9.84
52,boksitogorsk,90.0,RU,1583702673.0,95.0,59.47,33.85,28.78,2.48
53,new norfolk,75.0,AU,1583702673.0,66.0,-42.78,147.06,53.6,5.82
54,arraial do cabo,56.0,BR,1583702673.0,73.0,-22.97,-42.03,80.6,10.29
55,provideniya,92.0,RU,1583702674.0,96.0,64.38,-173.3,-4.9,2.46
56,hit,0.0,IQ,1583702674.0,45.0,33.64,42.83,65.8,8.39
57,verkhnevilyuysk,100.0,RU,1583702674.0,97.0,63.45,120.32,-24.27,3.09
59,lahaina,40.0,US,1583702404.0,60.0,20.88,-156.68,77.0,25.28
60,castro,12.0,BR,1583702674.0,90.0,-24.79,-50.01,66.56,3.02
61,saint-francois,90.0,FR,1583702674.0,71.0,46.42,3.91,50.0,4.7
62,qaqortoq,100.0,GL,1583702393.0,79.0,60.72,-46.03,23.0,5.77
63,coquimbo,0.0,CL,1583702674.0,72.0,-29.95,-71.34,68.0,12.75
64,kargasok,100.0,RU,1583702674.0,91.0,59.06,80.86,29.21,10.4
65,numaligarh,25.0,IN,1583702674.0,88.0,26.63,93.75,64.2,4.03
67,puerto escondido,20.0,MX,1583702675.0,79.0,15.85,-97.07,86.0,6.93
68,hithadhoo,89.0,MV,1583702465.0,66.0,-0.6,73.08,83.14,8.99
69,saskylakh,95.0,RU,1583702675.0,98.0,71.92,114.08,-28.26,3.53
70,hamilton,1.0,US,1583702533.0,22.0,39.18,-84.53,66.2,11.41
72,la ronge,90.0,CA,1583702675.0,64.0,55.1,-105.28,-2.2,8.05
73,saldanha,0.0,ZA,1583702675.0,68.0,-33.01,17.94,64.4,13.87
74,ponta do sol,20.0,PT,1583702675.0,67.0,32.67,-17.1,62.6,17.22
75,constitucion,19.0,CL,1583702676.0,54.0,-35.33,-72.42,65.7,11.7
77,lebu,19.0,CL,1583702676.0,45.0,-37.62,-73.65,64.74,9.91
78,kavieng,94.0,PG,1583702676.0,76.0,-2.57,150.8,83.19,10.76
79,torbay,90.0,CA,1583702453.0,85.0,47.67,-52.73,28.0,16.11
80,sechura,0.0,PE,1583702676.0,87.0,-5.56,-80.82,76.73,12.28
81,bonavista,99.0,CA,1583702676.0,86.0,48.65,-53.11,25.0,22.57
82,cape town,20.0,ZA,1583702573.0,72.0,-33.93,18.42,64.99,17.22
83,khatanga,47.0,RU,1583702676.0,85.0,71.97,102.5,-30.08,1.45
84,pevek,0.0,RU,1583702676.0,91.0,69.7,170.31,-12.53,6.24
85,jamestown,1.0,US,1583702660.0,22.0,42.1,-79.24,57.2,11.41
86,santiago,0.0,CL,1583702536.0,29.0,-33.46,-70.65,88.0,6.93
87,tatawin,78.0,TN,1583702677.0,32.0,32.93,10.45,53.6,4.7
88,san patricio,40.0,MX,1583702677.0,74.0,19.22,-104.7,84.2,13.87
89,dikson,93.0,RU,1583702677.0,61.0,73.51,80.55,-16.4,2.8
90,artigas,29.0,UY,1583702677.0,26.0,-30.4,-56.47,93.52,1.95
91,teacapan,75.0,MX,1583702677.0,26.0,22.55,-105.75,89.8,7.54
92,comodoro rivadavia,0.0,AR,1583702491.0,33.0,-45.87,-67.5,71.6,10.29
93,shelabolikha,75.0,RU,1583702677.0,73.0,53.41,82.62,23.0,15.66
94,rawson,0.0,AR,1583702677.0,61.0,-43.3,-65.1,63.52,12.97
95,lipin bor,100.0,RU,1583702677.0,97.0,60.26,37.98,30.07,3.65
97,anjozorobe,40.0,MG,1583702678.0,88.0,-18.4,47.87,66.2,8.05
98,paamiut,46.0,GL,1583702678.0,60.0,61.99,-49.67,9.68,5.77
99,alofi,75.0,NU,1583702678.0,83.0,-19.06,-169.92,82.4,3.36
100,vaini,75.0,TO,1583702678.0,74.0,-21.2,-175.2,82.4,3.36
102,avanigadda,0.0,IN,1583702678.0,88.0,16.02,80.92,73.38,2.48
106,goundam,67.0,ML,1583702678.0,6.0,16.41,-3.67,82.38,8.95
107,roros,100.0,NO,1583702679.0,86.0,62.57,11.38,37.4,4.7
108,vila velha,75.0,BR,1583702679.0,83.0,-20.33,-40.29,78.01,8.05
109,awbari,0.0,LY,1583702679.0,20.0,26.59,12.78,57.52,10.71
111,georgetown,20.0,MY,1583702679.0,88.0,5.41,100.34,82.4,2.24
112,busselton,6.0,AU,1583702679.0,46.0,-33.65,115.33,64.99,13.71
114,kalengwa,0.0,ZM,1583702679.0,97.0,-13.47,25.0,64.74,4.65
115,ossora,3.0,RU,1583702679.0,77.0,59.24,163.07,-5.19,1.59
116,praia da vitoria,20.0,PT,1583702679.0,93.0,38.73,-27.07,60.8,9.98
117,pisco,75.0,PE,1583702679.0,30.0,-13.7,-76.22,73.0,16.11
118,richards bay,0.0,ZA,1583702680.0,76.0,-28.78,32.04,77.31,19.73
120,ancud,90.0,CL,1583702680.0,77.0,-41.87,-73.82,59.0,6.93
121,duku,60.0,NG,1583702680.0,13.0,11.24,4.91,87.66,5.66
122,syamzha,100.0,RU,1583702680.0,95.0,60.02,41.06,32.72,6.04
123,kropotkin,3.0,RU,1583702680.0,66.0,45.44,40.58,55.83,6.89
124,hay river,75.0,CA,1583702680.0,56.0,60.82,-115.8,12.2,18.34
125,paraiso,20.0,CR,1583702678.0,47.0,9.84,-83.87,78.8,25.28
